Prof_Min,Prof_Max,Quant_Max,Diam_Chega,Diam_Saida,Tipo,PROF_Desc,Diam_Descr
0,1.2,2,400,400, I,até 1.20,1 tubo de chegada  com D <=400mm e 1 tubo de saída com D <=400mm
0,1.2,3,200,400, II,até 1.20,2 tubos de chegada com D <=200mm e 1 tubo de saída com D <=400mm
1.2,1.8,2,400,400, II,1.20 até 1.80,1 tubo de chegada  com D <=400mm e 1 tubo de saída com D <=400mm
1,1.8,3,200,400, III,1.00 até 1.80,2 tubos de chegada com D <=200mm e 1 tubo de saída com D <=400mm
1.8,3.5,3,200,400, IV,1.81m até 3.50m,2 tubos de chegada com D <=200mm e 1 tubo de saída com D <=400mm
1.8,3.5,2,400,400, IV,1.81m até 3.50m, 1 tubo de chegada  com D <=400mm e 1 tubo de saída com D <=400m
3.5,5,3,200,400, V, 3.51m até 5.0m,2 tubos de chegada com diâmetros <= 200mm e 1 tubo de saída com diâmetro < =400mm.
3.5,5,2,400,400, V, 3.51m até 5.0m,1 tubo de chegada  com D <=400mm e 1 tubo de saída com D <=400mm
0,2.5,4,400,600, VI-a,Até 2.50,Tubos com D=500mm ou Tubos com D=600mm 
0,2.7,4,600,800, VI-b,Até 2.7m,Tubos com D=700mm ou Tubos com D=800mm 
2.51,6,4,400,600, VII,2.51m a  6.0m,Tubos com D=500mm ou D=600mm
2.71,6,4,400,800,VIII-a, 2.71m a   6.0m ,Tubos com D=700mm ou 800mm
2.71,6,4,400,1000, VIII-b, 2.71m a   6.0m ,Tubos com D=900mm ou 1000mm
2.5,20,4,2000,2000,IX,Acima de 6.0m,Qualquer Diâmetro
